Year,Reporting Facility,Submission ID,Facility Sub Type,Facility Sub Type Grouping,Operator,COMPRESSOR (m3),PNEUMATICINSTRUMENT (m3),PNEAMATICPUMP (m3),FUGITIVE (m3),ROUTINEVENT (m3)
2021,ABBT0133492,31498236,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,70900
2021,ABBT0126968,31496709,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,4600
2021,ABBT0111708,31493573,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,68100
2021,ABBT0111709,31493574,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,119500
2021,ABBT0129913,31497391,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,9900
2021,ABBT0119710,31495086,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,6600
2021,ABBT0122259,31495588,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1500
2021,ABBT0127301,31496793,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,24200
2021,ABBT0121630,31495449,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,20300
2021,ABBT0128742,31497096,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0128794,31497109,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2700
2021,ABBT0116726,31494539,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2900
2021,ABBT0108924,31493190,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1800
2021,ABBT0132757,31498079,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,11200
2021,ABBT0133064,31498140,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2
2021,ABBT0146678,31501137,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1000
2021,ABBT0146981,31501212,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,3600
2021,ABBT0117693,31494724,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,33100
2021,ABBT0119528,31495041,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2000
2021,ABBT0129163,31497186,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0131673,31497842,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,24100
2021,ABBT0148727,31501648,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,11600
2021,ABBT0107783,31493091,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2500
2021,ABBT0107110,31493030,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,5300
2021,ABBT0107739,31493073,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1700
2021,ABBT0105985,31492929,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,400
2021,ABBT0105996,31492934,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,4200
2021,ABBT0107723,31493070,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,14200
2021,ABBT0127267,31496781,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,17200
2021,ABBT0137881,31499277,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2700
